long_name;short_name;author;organization
"Жерихина, Елена Игоревна.   Этикет петербургской прогулки / Е.И. Жерихина. - СПб. : Аврора, 2019. - 64 с. : ил. ; 18 см. - (Библиотека ""Авроры"" ; [17]). - Библиогр.: с. 64. - ISBN 978-5-7300-0989-9.";Этикет петербургской прогулки;Жерихина Е.И.;
"""Щукин. Биография коллекции"". выставка (2019; Москва).   Щукин. Биография коллекции : [Каталог] / Н.Ю. Семенова. - М. : Слово/Slovo, 2019. - 527 с. : ил. ; 24 см. - Библиогр.: с. 520-521. - ГМИИ им. А.С. Пушкина (Москва): 19 июня - 15 сентября 2019. - ISBN 978-5-387-01554-0.";Щукин. Биография коллекции;;ГМИИ им. А.С. Пушкина (Москва): 19 июня - 15 сентября 2019
"Государственный музей изобразительных искусств им. А. С. Пушкина (Москва).   Щукин. Биография коллекции : Путеводитель по выставке / Общ ред. А.А. Данилова ; авт. текстов: Н.В. Александрова, А.А. Данилова, С.Г. Загорская и др. - М. : ГМИИ им. А.С. Пушкина, 2019. - 159 с. : ил. ; 22 см. - Изд. подготовлено к выставке ""Щукин. Биография коллекции"" в ГМИИ им. А.С. Пушкина (Москва): 19 июня - 15 сентября 2019. - ISBN 978-5-89189-023-7.";Щукин. Биография коллекции;;"Изд. подготовлено к выставке ""Щукин. Биография коллекции"" в ГМИИ им. А.С. Пушкина (Москва): 19 июня - 15 сентября 2019"
"Жерихина, Елена Игоревна.   Петербурженка / Е.И. Жерихина. - СПб. : Аврора, 2019. - 64 с. : ил. ; 18 см. - (Библиотека ""Авроры"" ; [15]). - ISBN 978-5-7300-0973-8 .";Петербурженка;Жерихина Е.И.;
"Барнс, Джулиан.   Открой глаза / Д. Барнс ; пер с англ. В. Бабкова [и др.]. - СПб. : Азбука : Азбука-Аттикус, 2019. - 352 с. : ил. ; 22 см. - Библиогр. в подстр. примеч. - ISBN 978-5-389-11681-8.";Открой глаза;Барнс Д.;
"Сонькин, Виктор Валентинович.   Здесь был Рим : современные прогулки по древнему городу / В.В. Сонькин. - М. : АСТ, 2019. - 608 с. : ил. ; 22 см. - Библиогр.: с. 600-606. - ISBN 978-5-17-091636-8.";Здесь был Рим;Сонькин В.В.;
"Государственный музей изобразительных искусств им. А.С. Пушкина (Москва).   Галерея искусства стран Европы и Америки XIX-XX веков : [Альбом] / Авт.текстов: А.А. Данилова, А.В. Петухов, Е.Г. Пильник, А.В. Познанская. - 2-е изд. - М. : ГМИИ им. А.С. Пушкина, 2019. - 302, [1] с. : ил. ; 33 см. - ISBN 978-5-89189-017-6.";Галерея искусства стран Европы и Америки XIX-XX веков;;
"Дюран-Рюэль, Поль.   Воспоминания торговцев картинами / П. Дюран-Рюэль, А. Воллар ; пер. с. фр. П.В. Мелковой, Г.Г. Генниса. - СПб. : Азбука, 2019. - 604 с., [8] л. ил. : ил. ; 18 см. - (Азбука-классика ; [12]) (Non-fiction). - Библиогр. в подстр. примеч. - ISBN 978-5-389-16477-2.";Воспоминания торговцев картинами;Дюран-Рюэль П.;
"""Античное собрание семьи Карисаловых"". выставка (2019; Москва).   Античное собрание семьи Карисаловых : [Каталог выставки] / курат. выст.: Ольга Тугушева ; авт. тектов: П.А. Никулин, С.Х. Садекова, О.В. Тугушева. - М. : ГМИИ им. А.С. Пушкина, 2019. - 165, [2] с. : ил. ; 27 см. - Библиогр.: с. [167]. - ГМИИ им. А.С. Пушкина (Москва): 25 марта - 12 мая 2019. - ISBN 978-5-906480-28-6.";Античное собрание семьи Карисаловых;;ГМИИ им. А.С. Пушкина (Москва): 25 марта - 12 мая 2019
"Манович, Лев Захарович.   Язык новых медиа / Л.З. Манович. - М. : Ад Маргинем Пресс, 2018. - 399 с. : ил. ; 24 см. - Библиогр. в подстр. примеч. - ISBN 978-5-91103-411-5.";Язык новых медиа;Манович Л.З.;
