qnum;question;lemmatization
1_1;Что нового будет в марте?;что новое быть в март
1_2;Когда приедет выставка Морозова?;когда приехать выставка морозов
1_3;Расскажи мне про Пятницы в Пушкинском;рассказать я про пятница в пушкинский
1_4;Когда откроется выставка Тату?;когда открыться выставка тат
1_5;Цены на билеты Гейнсборо?;цена на билет гейнсборо
1_6;Какие квесты есть для детей?;какой квеста есть для ребёнок
1_7;Какие концерты будут на следующей неделе?;какой концерт быть на следующий неделя
1_8;На какую лекцию по искусству сходить?;на какой лекция по искусство сходить
1_9;Что мне посмотреть в выходные?;что я посмотреть в выходной
1_10;Какие выставки были в 2019 году?;какой выставка быть в 2019 год
1_11;Где скачать аудиогид по выставке Гейнсборо?;где скачать аудиогид по выставка гейнсборо
1_12;Как записать ребенка в кружок?;как записать ребёнок в кружок
1_13;Как связан с Пушкинским Рихтер?;как связать с пушкинский рихтер
1_14;Хочу что-нибудь по импрессионистам, срочно.;хотеть что нибыть по импрессионист срочно
1_15;На выставке Гейнсборо можно фотографировать?;на выставка гейнсборо можно фотографировать
1_16;Участвует ли музей в Библионочи?;участвовать ли музей в библионочь
1_17;Есть ли в музее лекторий?;есть ли в музей лекторий
1_18;Где узнать расписание лекций?;где узнать расписание лекция
1_19;Есть ли лекции про Дюрера?;есть ли лекция про дюрер
1_20;Когда снова привезут “Джоконду” Леонардо да Винчи?;когда снова привезти “джоконду” леонардо да винчи
2_1;Когда в музее длинный / продленный день?;когда в музей длинный продлить день
2_2;До которого часа работают кассы?;до который час работать касса
2_3;Что запрещено проносить в музей?;что запретить проносить в музей
2_4;Есть ли камеры хранения в музее?;есть ли камера хранение в музей
2_5;Где в музее посмотреть золото Трои?;где в музей посмотреть золото троить
2_6;Сколько зданий у Пушкинского?;сколько здание у пушкинский
2_7;Можно ли прийти в музей с собакой?;можно ли прийти в музей с собака
2_8;Что есть в музейном кафе?;что есть в музейный кафе
2_9;Где висят импрессионисты?;где висеть импрессионист
2_10;Как пройти без очереди?;как пройти без очередь
2_11;Можно в музее фотографировать?;можно в музей фотографировать
2_12;Где припарковаться в Пушкинском?;где припарковаться в пушкинский
2_13;Можно ли заказать копию понравившейся картины/скульптуры?;можно ли заказать копия понравиться картина скульптура
2_14;Когда закончится стройка?;когда закончиться стройка
2_15;Сколько стоит карта Друга музея?;сколько стоить карта друг музей
2_16;Где тут лифт?;где тут лифт
2_17;Экспозиция для слабовидящих;экспозиция для слабовидящий
2_18;Как доехать от метро до музея?;как доехать от метро до музей
2_19;Есть ли при Музее гостиница?;есть ли при музей гостиница
2_20;Где кабинет Марины Лошак?;где кабинет марина лошак
3_1;Хочу найти все об орнаменте;хотеть найти весь о орнамент
3_2;Порекомендуй литературу по Ренессансу;порекомендовать литература по ренессанс
3_3;Дюрер, гравюры, что у вас есть?;дюрер гравюра что у вы есть
3_4;Нужны книги Бакштейна;нужный книга бакштейн
3_5;Список изданий ГМИИ за 2017 год;список издание гмия за 2017 год
3_6;Что посмотреть по японской керамике?;что посмотреть по японский керамик
3_7;Сколько в коллекции предметов раннего средневековья?;сколько в коллекция предмет ранний средневековье
3_8;Каталог «Золота Трои»;каталог «золото трои»
3_9;Какие самые древние монеты есть в коллекции музея?;какой самый древние монета есть в коллекция музей
3_10;Мумии и саркофаги настоящие?;мумия и саркофаг настоящий
3_11;Почему в музее так много слепков?;почему в музей так много слепок
3_12;Покажите все предметы с изображением лошади.;показать весь предмет с изображение лошадь
3_13;Самые знаменитые картины в Пушкинском / шедевры Пушкинского музея?;самый знаменитый картина в пушкинский шедевр пушкинский музей
3_14;Что в музее есть из алебастра?;что в музей есть из алебастр
3_15;Покажите взорванные в Сирии крылатые Шеду;показать взорвать в сирия крылатый шед
3_16;У вас есть современное искусство?;у вы есть современный искусство
3_17;Где найти палитры Матисса?;где найти палитра матисс
3_18;Откуда в музее картина «Девочка на шаре»?;откуда в музей картина «девочка на шаре»
3_19;Есть ли в музее картины Леонардо да Винчи?;есть ли в музей картина леонардо да винчи
3_20;Расскажи о «Давиде»?;рассказать о «давиде»
